,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
1230,ExpGrad.1,0,0.705852,-0.0833268443066364,-0.101291202345776,-0.101291202345776,-0.074490359762386,-0.0724194593550331,0 days 00:03:22.055586
1231,ExpGrad.01,0,0.689631,-0.0161557694606992,-0.022162903325367,-0.022162903325367,-0.01208023047351,-0.0131290025307079,0 days 00:08:23.646334
1232,RedGrid25,0,0.682148,-0.1142607230888834,-0.1495398478936398,-0.1495398478936398,-0.0950384439546629,-0.0938752169141016,0 days 00:12:10.836012
1233,RedGrid5,0,0.682148,-0.1142607230888834,-0.1495398478936398,-0.1495398478936398,-0.0950384439546629,-0.0938752169141016,0 days 00:12:07.901476
1234,RedGrid75,0,0.682148,-0.1142607230888834,-0.1495398478936398,-0.1495398478936398,-0.0950384439546629,-0.0938752169141016,0 days 00:11:58.859839
1235,ExpGrad.1,1,0.713423,-0.0528147988958893,-0.1304655011662597,-0.1304655011662597,-0.0554778183508732,-0.0489681267424145,0 days 00:02:21.617150
1236,ExpGrad.01,1,0.584877,-7.125868284784174e-05,-0.0036827848934692,-0.0036827848934692,0.0,0.0,0 days 00:02:53.040848
1237,RedGrid25,1,0.705526,-0.0744625975887645,-0.1468685519549374,-0.1468685519549374,-0.0787151329254515,-0.0698995311426924,0 days 00:11:12.697006
1238,RedGrid5,1,0.70212,-0.0187950202189531,-0.1162934220885798,-0.1162934220885798,-0.0022811201523921,-0.0249210173671242,0 days 00:11:56.151443
1239,RedGrid75,1,0.70212,-0.0187950202189531,-0.1162934220885798,-0.1162934220885798,-0.0022811201523921,-0.0249210173671242,0 days 00:11:28.721134
1240,ExpGrad.1,2,0.710607,-0.0679154140573845,-0.1001367812643539,-0.1001367812643539,-0.0627548720013719,-0.0428865729079283,0 days 00:02:56.058899
1241,ExpGrad.01,2,0.613281,-0.007705968203985,-0.0117474460916907,-0.0090255336263952,0.0,-0.0117474460916907,0 days 00:04:43.394256
1242,RedGrid25,2,0.721368,-0.0869335908188468,-0.0996825441640961,-0.0942888032213377,-0.0996825441640961,-0.0718053824975406,0 days 00:13:03.064660
1243,RedGrid5,2,0.716834,-0.0733979360623848,-0.1110502868429376,-0.1110502868429376,-0.0948864431751216,-0.0255472365161191,0 days 00:13:05.126579
1244,RedGrid75,2,0.676325,-0.0339927251357529,-0.0555920330333412,-0.0498044434496937,-0.0555920330333412,-0.0053971255426408,0 days 00:12:40.104851
1245,ExpGrad.1,0,0.707742,-0.0783152256001631,-0.096786595306996,-0.096786595306996,-0.067523398576765,-0.068102055935338,0 days 00:03:22.512160
1246,ExpGrad.01,0,0.689439,-0.0119547615607785,-0.0171369200692204,-0.0171369200692204,-0.008857300954612,-0.0091281544359975,0 days 00:06:46.836419
1247,RedGrid25,0,0.687306,-0.079056260585914,-0.1121941641029803,-0.1121941641029803,-0.003561819684725,-0.091859704787696,0 days 00:11:34.481734
1248,RedGrid5,0,0.687306,-0.079056260585914,-0.1121941641029803,-0.1121941641029803,-0.003561819684725,-0.091859704787696,0 days 00:11:29.942654
1249,RedGrid75,0,0.66561,-0.0522064469585837,-0.1094235637060558,-0.1094235637060558,0.0,-0.030982132467591,0 days 00:11:20.197370
1250,ExpGrad.1,1,0.709576,-0.0242867394649507,-0.1145843141447313,-0.1145843141447313,-0.0274692211956651,-0.0197521896387221,0 days 00:03:10.341796
1251,ExpGrad.01,1,0.555068,-0.0003308503633464,-0.017097224715093,-0.017097224715093,0.0,0.0,0 days 00:02:00.432977
1252,RedGrid25,1,0.706562,-0.0811713114013974,-0.149709996222474,-0.149709996222474,-0.0865630530179433,-0.076079180770526,0 days 00:11:48.071850
1253,RedGrid5,1,0.697841,-0.0092371206775785,-0.1021880384234361,-0.1021880384234361,0.0,-0.0115078355321683,0 days 00:11:47.196043
1254,RedGrid75,1,0.681857,-0.0008529744715212,-0.0440788278674581,-0.0440788278674581,0.0,0.0,0 days 00:11:47.847679
1255,ExpGrad.1,1,0.711533,-0.0349968071281204,-0.1170969860679265,-0.1170969860679265,-0.0270114651877635,-0.0369012493872441,0 days 00:02:30.939672
1256,ExpGrad.01,1,0.592477,-0.0072092161337907,-0.0119078516026759,-0.0119078516026759,-0.0073589443727248,-0.006983072899803,0 days 00:03:22.378239
1257,RedGrid25,1,0.701001,-0.0028681873791087,-0.0998779329529697,-0.0998779329529697,0.0,-0.0014909596722889,0 days 00:11:09.794919
1258,RedGrid5,1,0.701001,-0.0028681873791087,-0.0998779329529697,-0.0998779329529697,0.0,-0.0014909596722889,0 days 00:11:09.587686
1259,RedGrid75,1,0.701001,-0.0028681873791087,-0.0998779329529697,-0.0998779329529697,0.0,-0.0014909596722889,0 days 00:11:10.005815
1260,ExpGrad.1,2,0.697104,-0.0448476872732885,-0.0850610479058062,-0.0850610479058062,-0.017799075558971,-0.0277088031177627,0 days 00:02:17.507243
1261,ExpGrad.01,2,0.619708,-0.0058216248064557,-0.0097979355429718,-0.0097979355429718,0.0,-0.0062045674883288,0 days 00:02:59.778405
1262,RedGrid25,2,0.710694,-0.0653079356452024,-0.0844725071942524,-0.0844725071942524,-0.0508526970055808,-0.0581729619060905,0 days 00:10:48.227907
1263,RedGrid5,2,0.684626,-0.03379559672562,-0.0754164540813058,-0.0754164540813058,0.0,-0.0198860992023145,0 days 00:10:37.361085
1264,RedGrid75,2,0.656299,-0.0158055263096126,-0.0389037511902794,-0.0389037511902794,0.0,-0.0061386987569662,0 days 00:10:44.919425
1265,ExpGrad.1,1,0.70908,-0.0279748805039934,-0.1090458356043118,-0.1090458356043118,-0.0254322958659077,-0.0269067017959068,0 days 00:02:36.581058
1266,ExpGrad.01,1,0.601327,-0.0129143399754051,-0.0183772127767747,-0.0148628766168315,-0.0183772127767747,-0.0098316889057037,0 days 00:05:14.416436
1267,RedGrid25,1,0.706927,-0.0612400824246369,-0.1351609101943356,-0.1351609101943356,-0.0652279049360923,-0.0567762773598037,0 days 00:11:37.867724
1268,RedGrid5,1,0.706927,-0.0612400824246369,-0.1351609101943356,-0.1351609101943356,-0.0652279049360923,-0.0567762773598037,0 days 00:11:40.614721
1269,RedGrid75,1,0.706927,-0.0612400824246369,-0.1351609101943356,-0.1351609101943356,-0.0652279049360923,-0.0567762773598037,0 days 00:11:35.786253
1270,ExpGrad.1,2,0.685111,-0.0342619789052302,-0.0748069807793503,-0.0748069807793503,-0.0007830146190651,-0.0202410562938794,0 days 00:02:43.120296
1271,ExpGrad.01,2,0.633574,-0.0079131643906675,-0.0137995537494162,-0.0137995537494162,-0.0118305987319476,0.0,0 days 00:04:17.903376
1272,RedGrid25,2,0.688836,-0.0605067937774328,-0.0758108547289083,-0.0599066508913816,-0.0758108547289083,-0.0507987907893159,0 days 00:12:11.166012
